v1,v2
ham,jurong point crazy available bugis great world buffet cine got amore wat
ham,lar joking wif oni
spam,free entry wkly comp win cup final tkts may text receive entry questionstd txt ratetcs apply
ham,dun say early hor already say
ham,nah dont think go usf life around though
spam,freemsg hey darling week word back like fun still xxx std chgs send rcv
ham,even brother like speak they treat like aid patent
ham,per request melle oru minnaminunginte nurungu vettam set callertune callers press copy friend callertune
spam,winner valued network customer selected receivea prize reward claim call claim code valid hour
spam,had mobile month entitled update latest colour mobile camera free call the mobile update free
ham,gonna home soon dont want talk stuff anymore tonight ive cried enough today
spam,six chance win cash from pound txt send cost tsandcs apply reply info
spam,urgent you week free membership prize jackpot txt word claim wwwdbuknet lccltd pobox
ham,ive searching right word thank breather promise wont take help granted fulfil promise you wonderful blessing time
ham,have date sunday with will
spam,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,kim watching
ham,remember spell name yes naughty make wet
ham,fine thatåõs way feel thatåõs way gota
spam,england macedonia dont miss goalsteam news txt national team england trywales scotland
ham,seriously spell name
ham,going try month joking
ham,pay first lar then stock comin
ham,aft finish lunch str lor ard smth lor finish lunch already
ham,ffffffffff alright way meet sooner
ham,just forced eat slice really hungry tho this suck mark getting worried know sick turn pizza lol
ham,lol always convincing
ham,did catch bus are frying egg did make tea are eating mom left dinner feel love
ham,back packing car ill let know there room
ham,ahhh work vaguely remember what feel like lol
ham,wait thats still clear sure sarcastic thats doesnt want live
ham,yeah got apologetic fallen actin like spoilt child got caught till but wont not badly cheer you
ham,tell anything
ham,for fear fainting housework quick cuppa
spam,thanks subscription ringtone mobile charged please confirm replying yes reply charged
ham,yup home look timing msg xuhui going learn may lesson
ham,oops ill let know roommate done
ham,see letter car
ham,anything lor decide
ham,hello hows saturday texting see youd decided anything tomo not trying invite anything
ham,pls ahead watt wanted sure great weekend abiola
ham,did forget tell want need crave but love sweet arabian steed mmmmmm yummy
spam,rodger burns msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
ham,who are you seeing
ham,great hope like man well endowed inch
ham,callsmessagesmissed call
ham,didnt get hep immunisation nigeria
ham,fair enough anything going
ham,yeah hopefully tyler cant could maybe ask around bit
ham,dont know stubborn didnt even want hospital kept telling mark weak sucker hospitals weak sucker
ham,what thinked first time saw class
ham,gram usually run like half eighth smarter though get almost whole second gram
ham,fyi ride early tomorrow morning he crashing place tonight
ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry didnt dont give sorry offered sorry room embarassing
spam,sms sptv the new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,know mallika sherawat yesterday find url
spam,congrats year special cinema pas call suprman etc free dont miss
ham,sorry ill call later meeting
ham,tell reached
ham,yesgauti sehwag odi series
ham,your gonna pick burger way home cant even move pain killing
ham,good joke girls situation seeker
ham,its part checking
ham,sorry roommate took forever come
